"";"SourceFile";"FileName";"DateTimeOriginal";"GPSTimeStamp";"GPSDateTime"
"42";"All_Photos/GSAH1041.JPG";"GSAH1041.JPG";"2022:02:16 14:32:56";"22:31:06";"2022:02:16 22:31:06Z"
"43";"All_Photos/GSAH1042.JPG";"GSAH1042.JPG";"2022:02:16 14:32:58";"22:31:08";"2022:02:16 22:31:08Z"
"44";"All_Photos/GSAH1043.JPG";"GSAH1043.JPG";"2022:02:16 14:33:00";"22:31:10";"2022:02:16 22:31:10Z"
"45";"All_Photos/GSAH1044.JPG";"GSAH1044.JPG";"2022:02:16 14:33:02";"22:31:12";"2022:02:16 22:31:12Z"
"46";"All_Photos/GSAH1045.JPG";"GSAH1045.JPG";"2022:02:16 14:33:04";"22:31:14";"2022:02:16 22:31:14Z"
"47";"All_Photos/GSAH1046.JPG";"GSAH1046.JPG";"2022:02:16 14:33:06";"22:31:16";"2022:02:16 22:31:16Z"
"48";"All_Photos/GSAH1047.JPG";"GSAH1047.JPG";"2022:02:16 14:33:08";"22:31:18";"2022:02:16 22:31:18Z"
"49";"All_Photos/GSAH1048.JPG";"GSAH1048.JPG";"2022:02:16 14:33:10";"22:31:20";"2022:02:16 22:31:20Z"
"50";"All_Photos/GSAH1049.JPG";"GSAH1049.JPG";"2022:02:16 14:33:12";"22:31:22";"2022:02:16 22:31:22Z"
"51";"All_Photos/GSAH1050.JPG";"GSAH1050.JPG";"2022:02:16 14:33:14";"22:31:24";"2022:02:16 22:31:24Z"
"52";"All_Photos/GSAH1051.JPG";"GSAH1051.JPG";"2022:02:16 14:33:16";"22:31:26";"2022:02:16 22:31:26Z"
"53";"All_Photos/GSAH1052.JPG";"GSAH1052.JPG";"2022:02:16 14:33:18";"22:31:28";"2022:02:16 22:31:28Z"
"54";"All_Photos/GSAH1053.JPG";"GSAH1053.JPG";"2022:02:16 14:33:20";"22:31:30";"2022:02:16 22:31:30Z"
"55";"All_Photos/GSAH1054.JPG";"GSAH1054.JPG";"2022:02:16 14:33:22";"22:31:32";"2022:02:16 22:31:32Z"
"56";"All_Photos/GSAH1055.JPG";"GSAH1055.JPG";"2022:02:16 14:33:24";"22:31:34";"2022:02:16 22:31:34Z"
"57";"All_Photos/GSAH1056.JPG";"GSAH1056.JPG";"2022:02:16 14:33:26";"22:31:36";"2022:02:16 22:31:36Z"
"58";"All_Photos/GSAH1057.JPG";"GSAH1057.JPG";"2022:02:16 14:33:28";"22:31:38";"2022:02:16 22:31:38Z"
"59";"All_Photos/GSAH1058.JPG";"GSAH1058.JPG";"2022:02:16 14:33:30";"22:31:40";"2022:02:16 22:31:40Z"
"60";"All_Photos/GSAH1059.JPG";"GSAH1059.JPG";"2022:02:16 14:33:32";"22:31:42";"2022:02:16 22:31:42Z"
"61";"All_Photos/GSAH1060.JPG";"GSAH1060.JPG";"2022:02:16 14:33:34";"22:31:44";"2022:02:16 22:31:44Z"
"62";"All_Photos/GSAH1061.JPG";"GSAH1061.JPG";"2022:02:16 14:33:36";"22:31:46";"2022:02:16 22:31:46Z"
"63";"All_Photos/GSAH1062.JPG";"GSAH1062.JPG";"2022:02:16 14:33:38";"22:31:48";"2022:02:16 22:31:48Z"
"64";"All_Photos/GSAH1063.JPG";"GSAH1063.JPG";"2022:02:16 14:33:40";"22:31:50";"2022:02:16 22:31:50Z"
"65";"All_Photos/GSAH1064.JPG";"GSAH1064.JPG";"2022:02:16 14:33:42";"22:31:52";"2022:02:16 22:31:52Z"
"66";"All_Photos/GSAH1065.JPG";"GSAH1065.JPG";"2022:02:16 14:33:44";"22:31:54";"2022:02:16 22:31:54Z"
"67";"All_Photos/GSAH1066.JPG";"GSAH1066.JPG";"2022:02:16 14:33:46";"22:31:56";"2022:02:16 22:31:56Z"
"68";"All_Photos/GSAH1067.JPG";"GSAH1067.JPG";"2022:02:16 14:33:48";"22:31:58";"2022:02:16 22:31:58Z"
"69";"All_Photos/GSAH1068.JPG";"GSAH1068.JPG";"2022:02:16 14:33:50";"22:32:00";"2022:02:16 22:32:00Z"
"70";"All_Photos/GSAH1069.JPG";"GSAH1069.JPG";"2022:02:16 14:33:52";"22:32:02";"2022:02:16 22:32:02Z"
"71";"All_Photos/GSAH1070.JPG";"GSAH1070.JPG";"2022:02:16 14:33:54";"22:32:04";"2022:02:16 22:32:04Z"
"72";"All_Photos/GSAH1071.JPG";"GSAH1071.JPG";"2022:02:16 14:33:56";"22:32:06";"2022:02:16 22:32:06Z"
"73";"All_Photos/GSAH1072.JPG";"GSAH1072.JPG";"2022:02:16 14:33:58";"22:32:08";"2022:02:16 22:32:08Z"
"74";"All_Photos/GSAH1073.JPG";"GSAH1073.JPG";"2022:02:16 14:34:00";"22:32:10";"2022:02:16 22:32:10Z"
"75";"All_Photos/GSAH1074.JPG";"GSAH1074.JPG";"2022:02:16 14:34:02";"22:32:12";"2022:02:16 22:32:12Z"
"76";"All_Photos/GSAH1075.JPG";"GSAH1075.JPG";"2022:02:16 14:34:04";"22:32:14";"2022:02:16 22:32:14Z"
"77";"All_Photos/GSAH1076.JPG";"GSAH1076.JPG";"2022:02:16 14:34:06";"22:32:16";"2022:02:16 22:32:16Z"
"78";"All_Photos/GSAH1077.JPG";"GSAH1077.JPG";"2022:02:16 14:34:08";"22:32:18";"2022:02:16 22:32:18Z"
"79";"All_Photos/GSAH1078.JPG";"GSAH1078.JPG";"2022:02:16 14:34:10";"22:32:20";"2022:02:16 22:32:20Z"
"80";"All_Photos/GSAH1079.JPG";"GSAH1079.JPG";"2022:02:16 14:34:12";"22:32:22";"2022:02:16 22:32:22Z"
"81";"All_Photos/GSAH1080.JPG";"GSAH1080.JPG";"2022:02:16 14:34:14";"22:32:24";"2022:02:16 22:32:24Z"
"82";"All_Photos/GSAH1081.JPG";"GSAH1081.JPG";"2022:02:16 14:34:16";"22:32:26";"2022:02:16 22:32:26Z"
"83";"All_Photos/GSAH1082.JPG";"GSAH1082.JPG";"2022:02:16 14:34:18";"22:32:28";"2022:02:16 22:32:28Z"
"84";"All_Photos/GSAH1083.JPG";"GSAH1083.JPG";"2022:02:16 14:34:20";"22:32:30";"2022:02:16 22:32:30Z"
"85";"All_Photos/GSAH1084.JPG";"GSAH1084.JPG";"2022:02:16 14:34:22";"22:32:32";"2022:02:16 22:32:32Z"
"86";"All_Photos/GSAH1085.JPG";"GSAH1085.JPG";"2022:02:16 14:34:24";"22:32:34";"2022:02:16 22:32:34Z"
"87";"All_Photos/GSAH1086.JPG";"GSAH1086.JPG";"2022:02:16 14:34:26";"22:32:36";"2022:02:16 22:32:36Z"
"88";"All_Photos/GSAH1087.JPG";"GSAH1087.JPG";"2022:02:16 14:34:28";"22:32:38";"2022:02:16 22:32:38Z"
"89";"All_Photos/GSAH1088.JPG";"GSAH1088.JPG";"2022:02:16 14:34:30";"22:32:40";"2022:02:16 22:32:40Z"
"90";"All_Photos/GSAH1089.JPG";"GSAH1089.JPG";"2022:02:16 14:34:32";"22:32:42";"2022:02:16 22:32:42Z"
"91";"All_Photos/GSAH1090.JPG";"GSAH1090.JPG";"2022:02:16 14:34:34";"22:32:44";"2022:02:16 22:32:44Z"
"92";"All_Photos/GSAH1091.JPG";"GSAH1091.JPG";"2022:02:16 14:34:36";"22:32:46";"2022:02:16 22:32:46Z"
"93";"All_Photos/GSAH1092.JPG";"GSAH1092.JPG";"2022:02:16 14:34:38";"22:32:48";"2022:02:16 22:32:48Z"
"94";"All_Photos/GSAH1093.JPG";"GSAH1093.JPG";"2022:02:16 14:34:40";"22:32:50";"2022:02:16 22:32:50Z"
"95";"All_Photos/GSAH1094.JPG";"GSAH1094.JPG";"2022:02:16 14:34:42";"22:32:52";"2022:02:16 22:32:52Z"
"96";"All_Photos/GSAH1095.JPG";"GSAH1095.JPG";"2022:02:16 14:34:44";"22:32:54";"2022:02:16 22:32:54Z"
"97";"All_Photos/GSAH1096.JPG";"GSAH1096.JPG";"2022:02:16 14:34:46";"22:32:56";"2022:02:16 22:32:56Z"
"98";"All_Photos/GSAH1097.JPG";"GSAH1097.JPG";"2022:02:16 14:34:48";"22:32:58";"2022:02:16 22:32:58Z"
"99";"All_Photos/GSAH1098.JPG";"GSAH1098.JPG";"2022:02:16 14:34:50";"22:33:00";"2022:02:16 22:33:00Z"
"100";"All_Photos/GSAH1099.JPG";"GSAH1099.JPG";"2022:02:16 14:34:52";"22:33:02";"2022:02:16 22:33:02Z"
"101";"All_Photos/GSAH1100.JPG";"GSAH1100.JPG";"2022:02:16 14:34:54";"22:33:04";"2022:02:16 22:33:04Z"
"102";"All_Photos/GSAH1101.JPG";"GSAH1101.JPG";"2022:02:16 14:34:56";"22:33:06";"2022:02:16 22:33:06Z"
"103";"All_Photos/GSAH1102.JPG";"GSAH1102.JPG";"2022:02:16 14:34:58";"22:33:08";"2022:02:16 22:33:08Z"
"104";"All_Photos/GSAH1103.JPG";"GSAH1103.JPG";"2022:02:16 14:35:00";"22:33:10";"2022:02:16 22:33:10Z"
"105";"All_Photos/GSAH1104.JPG";"GSAH1104.JPG";"2022:02:16 14:35:02";"22:33:12";"2022:02:16 22:33:12Z"
"106";"All_Photos/GSAH1105.JPG";"GSAH1105.JPG";"2022:02:16 14:35:04";"22:33:14";"2022:02:16 22:33:14Z"
"107";"All_Photos/GSAH1106.JPG";"GSAH1106.JPG";"2022:02:16 14:35:06";"22:33:16";"2022:02:16 22:33:16Z"
"108";"All_Photos/GSAH1107.JPG";"GSAH1107.JPG";"2022:02:16 14:35:08";"22:33:18";"2022:02:16 22:33:18Z"
"109";"All_Photos/GSAH1108.JPG";"GSAH1108.JPG";"2022:02:16 14:35:10";"22:33:20";"2022:02:16 22:33:20Z"
"110";"All_Photos/GSAH1109.JPG";"GSAH1109.JPG";"2022:02:16 14:35:12";"22:33:22";"2022:02:16 22:33:22Z"
"111";"All_Photos/GSAH1110.JPG";"GSAH1110.JPG";"2022:02:16 14:35:14";"22:33:24";"2022:02:16 22:33:24Z"
"112";"All_Photos/GSAH1111.JPG";"GSAH1111.JPG";"2022:02:16 14:35:16";"22:33:26";"2022:02:16 22:33:26Z"
"113";"All_Photos/GSAH1112.JPG";"GSAH1112.JPG";"2022:02:16 14:35:18";"22:33:28";"2022:02:16 22:33:28Z"
"114";"All_Photos/GSAH1113.JPG";"GSAH1113.JPG";"2022:02:16 14:35:20";"22:33:30";"2022:02:16 22:33:30Z"
"115";"All_Photos/GSAH1114.JPG";"GSAH1114.JPG";"2022:02:16 14:35:22";"22:33:32";"2022:02:16 22:33:32Z"
"116";"All_Photos/GSAH1115.JPG";"GSAH1115.JPG";"2022:02:16 14:35:24";"22:33:34";"2022:02:16 22:33:34Z"
"117";"All_Photos/GSAH1116.JPG";"GSAH1116.JPG";"2022:02:16 14:35:26";"22:33:36";"2022:02:16 22:33:36Z"
"118";"All_Photos/GSAH1117.JPG";"GSAH1117.JPG";"2022:02:16 14:35:28";"22:33:38";"2022:02:16 22:33:38Z"
"119";"All_Photos/GSAH1118.JPG";"GSAH1118.JPG";"2022:02:16 14:35:30";"22:33:40";"2022:02:16 22:33:40Z"
"120";"All_Photos/GSAH1119.JPG";"GSAH1119.JPG";"2022:02:16 14:35:32";"22:33:42";"2022:02:16 22:33:42Z"
"121";"All_Photos/GSAH1120.JPG";"GSAH1120.JPG";"2022:02:16 14:35:34";"22:33:44";"2022:02:16 22:33:44Z"
"122";"All_Photos/GSAH1121.JPG";"GSAH1121.JPG";"2022:02:16 14:35:36";"22:33:46";"2022:02:16 22:33:46Z"
"123";"All_Photos/GSAH1122.JPG";"GSAH1122.JPG";"2022:02:16 14:35:38";"22:33:48";"2022:02:16 22:33:48Z"
